176;"Configuration/Environment Manipulation";Meta;Draft;"An attacker manipulates files or settings external to a target application which affect the behavior of that application. For example, many applications use external configuration files and libraries - modification of these entities or otherwise affecting the application's ability to use them would constitute a configuration/environment manipulation attack.";"";;Medium;"";"";"::The target application must consult external files or configuration controls to control its execution. All but the very simplest applications meet this requirement.::";"";"::The attacker must have the access necessary to affect the files or other environment items the targeted application uses for its operations.::";"";"";"";"";"::15::1233::1234::";"TAXONOMY NAME:OWASP Attacks:ENTRY NAME:Setting Manipulation::";"";
438;"Modification During Manufacture";Meta;Draft;"An attacker modifies a technology, product or component during a stage in its manufacture for the purpose of carrying out an attack against some entity involved in the supply chain lifecycle. There are an almost limitless number of ways an attacker can modify a technology when they are involved in its manufacture, as the attacker has potential inroads to the software composition; hardware design and assembly,firmware or basic design mechanics. Additionally, manufacturing of key components is often outsourced with the final product assembled by the primary manufacturer. The greatest risk, however, is deliberate manipulation of design specifications to produce malicious hardware or devices. There are billions of transistors in a single integrated circuit and studies have shown that fewer than 10 transistors are required to create malicious functionality.";"";;;"";"";"";"";"";"";"";"";"";"";"TAXONOMY NAME:ATTACK:ENTRY ID:1195.001:ENTRY NAME:Supply Chain Compromise:Compromise Software Dependencies and Development Tools::::TAXONOMY NAME:ATTACK:ENTRY ID:1195.002:ENTRY NAME:Supply Chain Compromise:Compromise Software Supply Chain::::TAXONOMY NAME:ATTACK:ENTRY ID:1195.003:ENTRY NAME:Supply Chain Compromise:Compromise Hardware Supply Chain::";"";
439;"Manipulation During Distribution";Meta;Draft;"An attacker undermines the integrity of a product, software or technology at some stage of the distribution channel. The core threat of modification or manipulation during distribution arise from the many stages of distribution, as a product may traverse multiple suppliers and integrators as the final asset is delivered. Components and services provided from a manufacturer to a supplier may be tampered with during integration or packaging.";"";;;"";"";"";"";"";"";"";"";"::A malicious OEM provider, or OEM provider employee or contractor, may install software, or modify existing code, during distribution.::External contractors involved in the packaging or testing of products or components may install software, or modify existing code, during distribution.::";"::1269::";"TAXONOMY NAME:ATTACK:ENTRY ID:1195.001:ENTRY NAME:Supply Chain Compromise:Compromise Software Dependencies and Development Tools::::TAXONOMY NAME:ATTACK:ENTRY ID:1195.002:ENTRY NAME:Supply Chain Compromise:Compromise Software Supply Chain::::TAXONOMY NAME:ATTACK:ENTRY ID:1195.003:ENTRY NAME:Supply Chain Compromise:Compromise Hardware Supply Chain::";"";
440;"Hardware Integrity Attack";Meta;Stable;"An adversary exploits a weakness in the system maintenance process and causes a change to be made to a technology, product,component or sub-component or a new one installed during its deployed use at the victim location for the purpose of carrying out an attack.";"";Low;High;"";"";"::Influence over the deployed system at a victim location.::";"";"";"";"::SCOPE:IntegrityTECHNICAL IMPACT:Execute Unauthorized Commands::";"";"";"";"TAXONOMY NAME:ATTACK:ENTRY ID:1200:ENTRY NAME:Hardware Additions::";"";
441;"Malicious Logic Insertion";Meta;Stable;"An adversary installs or adds malicious logic (also known as malware) into a seemingly benign component of a fielded system. This logic is often hidden from the user of the system and works behind the scenes to achieve negative impacts. With the proliferation of mass digital storage and inexpensive multimedia devices, Bluetooth and 802.11 support,new attack vectors for spreading malware are emerging for things we once thought of as innocuous greeting cards, picture frames, or digital projectors. This pattern of attack focuses on systems already fielded and used in operation as opposed to systems and their components that are still under development and part of the supply chain.";"";Medium;High;"";"";"::Access to the component currently deployed at a victim location.::";"";"";"";"::SCOPE:AuthorizationTECHNICAL IMPACT:Execute Unauthorized Commands::";"";"";"::284::";"";"";
203;"Manipulate Registry Information";Standard;Stable;"An adversary exploits a weakness in authorization in order to modify content within a registry (e.g.,Windows Registry, Mac plist, application registry). Editing registry information can permit the adversary to hide configuration information or remove indicators of compromise to cover up activity. Many applications utilize registries to store configuration and service information. As such, modification of registry information can affect individual services (affecting billing, authorization, or even allowing for identity spoofing) or the overall configuration of a targeted application. For example,both Java RMI and SOAP use registries to track available services. Changing registry values is sometimes a preliminary step towards completing another attack pattern,but given the long term usage of many registry values, manipulation of registry information could be its own end.";"";;Medium;"::NATURE:ChildOf:CAPEC ID:176::";"";"::The targeted application must rely on values stored in a registry.::The adversary must have a means of elevating permissions in order to access and modify registry content through either administrator privileges (e.g., credentialed access), or a remote access tool capable of editing a registry through an API.::";"::SKILL:The adversary requires privileged credentials or the development/acquiring of a tailored remote access tool.:LEVEL:High::";"::None: No specialized resources are required to execute this type of attack.::";"";"";"::Ensure proper permissions are set for Registry hives to prevent users from modifying keys.::Employ a robust and layered defensive posture in order to prevent unauthorized users on your system.::Employ robust identification and audit/blocking using an allowlist of applications on your system. Unnecessary applications, utilities, and configurations will have a presence in the system registry that can be leveraged by an adversary through this attack pattern.::";"::Manipulating registration information can be undertaken in advance of a path traversal attack (inserting relative path modifiers) or buffer overflow attack (enlarging a registry value beyond an application's ability to store it).::";"::15::";"TAXONOMY NAME:ATTACK:ENTRY ID:1112:ENTRY NAME:Modify Registry::";"";
271;"Schema Poisoning";Standard;Draft;"An adversary corrupts or modifies the content of a schema for the purpose of undermining the security of the target. Schemas provide the structure and content definitions for resources used by an application. By replacing or modifying a schema,the adversary can affect how the application handles or interprets a resource, often leading to possible denial of service, entering into an unexpected state,or recording incomplete data.";"";Low;High;"::NATURE:ChildOf:CAPEC ID:176::";"";"::Some level of access to modify the target schema.::The schema used by the target application must be improperly secured against unauthorized modification and manipulation.::";"";"::Access to the schema and the knowledge and ability modify it. Ability to replace or redirect access to the modified schema.::";"";"::SCOPE:AvailabilityTECHNICAL IMPACT:Unreliable Execution:TECHNICAL IMPACT:Resource Consumption:NOTE:Availability Unreliable Execution Resource Consumption A successful schema poisoning attack can compromise the availability of the target system's service by exhausting its available resources.::SCOPE:IntegrityTECHNICAL IMPACT:Modify Data::SCOPE:ConfidentialityTECHNICAL IMPACT:Read Data::";"::Design: Protect the schema against unauthorized modification.::Implementation: For applications that use a known schema, use a local copy or a known good repository instead of the schema reference supplied in the schema document.::Implementation: For applications that leverage remote schemas, use the HTTPS protocol to prevent modification of traffic in transit and to avoid unauthorized modification.::";"::In a JSON Schema Poisoning Attack, an adervary modifies the JSON schema to cause a Denial of Service (DOS) or to submit malicious input: { title: Contact, type: object,properties: { Name: { type: string },Phone: { type: string },Email: { type: string }, Address: { type: string } }, required: [Name,Phone,Email,Address] } If the 'name' attribute is required in all submitted documents and this field is removed by the adversary,the application may enter an unexpected state or record incomplete data. Additionally,if this data is needed to perform additional functions,a Denial of Service (DOS) may occur.::In a Database Schema Poisoning Attack, an adversary alters the database schema being used to modify the database in some way. This can result in loss of data, DOS, or malicious input being submitted. Assuming there is a column named name, an adversary could make the following schema change: ALTER TABLE Contacts MODIFY Name VARCHAR(65353),The Name field of the Conteacts table now allows the storing of names up to 65353 characters in length. This could allow the adversary to store excess data within the database to consume system resource or to execute a DOS.::";"::15::";"";"";
536;"Data Injected During Configuration";Standard;Stable;"An attacker with access to data files and processes on a victim's system injects malicious data into critical operational data during configuration or recalibration, causing the victim's system to perform in a suboptimal manner that benefits the adversary.";"";Low;High;"::NATURE:ChildOf:CAPEC ID:176::";"";"::The attacker must have previously compromised the victim's systems or have physical access to the victim's systems.::Advanced knowledge of software and hardware capabilities of a manufacturer's product.::";"::SKILL:Ability to generate and inject false data into operational data into a system with the intent of causing the victim to alter the configuration of the system.:LEVEL:High::";"";"";"";"::Ensure that proper access control is implemented on all systems to prevent unauthorized access to system files and processes.::";"::An adversary wishes to bypass a security system to access an additional network segment where critical data is kept. The adversary knows that some configurations of the security system will allow for remote bypass under certain conditions, such as switching a specific parameter to a different value. The adversary knows the bypass will work but also will be detected within the logging data of the security system. The adversary waits until an upgrade is performed to the security system by the victim's system administrators; and the adversary has access to an external logging system. The adversary injects false log entries that cause the administrators to think there are two different error states within the security system - one involving the specific parameter and the other involving the logging entries. The specific parameter is adjusted to a different value; and the logging level is reduced to a lower level that will not cause an adversary bypass to be detected. The adversary stops injecting false log data; and the administrators of the security system believe the issues were caused by the upgrade and are now resolved. The adversary is then able to bypass the security system.::";"::284::";"";"";
578;"Disable Security Software";Standard;Usable;"An adversary exploits a weakness in access control to disable security tools so that detection does not occur. This can take the form of killing processes; deleting registry keys so that tools do not start at run time; deleting log files; or other methods.";"";Medium;Medium;"::NATURE:ChildOf:CAPEC ID:176::";"";"::The adversary must have the capability to interact with the configuration of the targeted system.::";"";"::None: No specialized resources are required to execute this type of attack.::";"";"::SCOPE:AvailabilityTECHNICAL IMPACT:Hide Activities:NOTE:Availability Hide Activities By disabling certain security tools; the adversary can hide malicious activity and avoid detection.::";"::Ensure proper permissions are in place to prevent adversaries from altering the execution status of security tools.::";"";"::284::";"TAXONOMY NAME:ATTACK:ENTRY ID:1562.001:ENTRY NAME:Impair Defenses:Disable or Modify Tools::";"";
75;"Manipulating Writeable Configuration Files";Standard;Draft;"Generally these are manually edited files that are not in the preview of the system administrators; any ability on the attackers' behalf to modify these files; for example in a CVS repository; gives unauthorized access directly to the application; the same as authorized users.";"";High;Very High;"::NATURE:ChildOf:CAPEC ID:176::";"";"::Configuration files must be modifiable by the attacker::";"::SKILL:To identify vulnerable configuration files; and understand how to manipulate servers and erase forensic evidence:LEVEL:Medium::";"";"";"::SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:AuthorizationTECHNICAL IMPACT:Gain Privileges::";"::Design: Enforce principle of least privilege::Design: Backup copies of all configuration files::Implementation: Integrity monitoring for configuration files::Implementation: Enforce audit logging on code and configuration promotion procedures.::Implementation: Load configuration from separate process and memory space; for example a separate physical device like a CD::";"::The BEA Weblogic server uses a config.xml file to store configuration data. If this file is not properly protected by the system access control; an attacker can write configuration information to redirect server output through system logs; database connections; malicious URLs and so on. Access to the Weblogic server may be from a so-called Custom realm which manages authentication and authorization privileges on behalf of user principals. Given write access; the attacker can insert a pointer to a custom realm jar file in the config.xml < CustomRealmConfigurationData=java.util.PropertiesName=CustomRealmRealmClassName=Maliciousrealm.jar/> The main issue with configuration files is that the attacker can leverage all the same functionality the server has; but for malicious means. Given the complexity of server configuration; these changes may be very hard for administrators to detect.::";"::349::99::77::346::353::354::713::";"";"";
